gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;1251;942;309;144;266;195;127;58;60;40;26;18;8;12;27;27;34;25;16;37;33;37;61
Gewest Vlaanderen;964;804;160;134;253;178;104;41;39;23;16;10;6;5;16;15;14;8;8;13;22;19;40
Gewest Wallonië;219;102;117;7;8;11;19;12;18;12;6;7;2;5;7;7;12;13;8;21;6;17;21
Gewest Brussels hoofdstedelijk gewest;68;36;32;3;5;6;4;5;3;5;4;1;0;2;4;5;8;4;0;3;5;1;0
Prov Vlaams Brabant;144;113;31;14;37;28;14;4;5;5;2;2;2;0;2;1;4;1;2;4;4;4;9
Prov West-Vlaanderen;223;182;41;41;57;42;13;6;11;7;2;1;2;4;3;3;3;2;1;3;5;6;11
Prov Oost-Vlaanderen;274;223;51;33;66;53;28;14;10;7;8;3;1;1;9;8;5;2;3;2;7;8;6
Prov Antwerpen;233;210;23;34;68;44;36;12;7;3;1;4;1;0;2;3;0;2;1;0;5;0;10
Prov Limburg;90;76;14;12;25;11;13;5;6;1;3;0;0;0;0;0;2;1;1;4;1;1;4
Prov Waals Brabant;53;24;29;2;0;2;6;1;7;4;1;1;0;3;1;1;2;3;0;9;1;3;6
Prov Henegouwen;53;24;29;3;3;2;5;4;3;2;1;1;0;1;3;0;3;3;1;7;1;7;3
Prov Luik;59;28;31;0;2;5;6;4;4;3;0;2;2;1;1;3;3;4;2;1;3;5;8
Prov Namen;39;18;21;2;1;1;0;2;4;3;4;1;0;0;2;2;3;3;2;4;1;1;3
Prov Luxemburg;15;8;7;0;2;1;2;1;0;0;0;2;0;0;0;1;1;0;3;0;0;1;1
Prov Brussels hoofdstedelijk gewest;68;36;32;3;5;6;4;5;3;5;4;1;0;2;4;5;8;4;0;3;5;1;0
