gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;127513;116369;11144;780;15694;18732;15233;13496;11187;10856;10902;9456;6021;4012;91;1918;2605;1705;1289;963;837;715;482;319;220
Gewest Vlaanderen;77854;71622;6232;681;11435;12191;8966;7591;6219;6312;6625;5839;3577;2186;83;1390;1592;857;575;414;390;382;267;183;99
Gewest Wallonië;41801;37963;3838;88;3591;5387;5286;5049;4254;3869;3659;3134;2117;1529;8;433;809;665;566;422;338;251;147;105;94
Gewest Brussels hoofdstedelijk gewest;7858;6784;1074;11;668;1154;981;856;714;675;618;483;327;297;0;95;204;183;148;127;109;82;68;31;27
Prov Vlaams Brabant;11168;10171;997;71;1334;1499;1160;1083;978;1047;1109;935;581;374;9;197;202;129;101;87;82;62;60;50;18
Prov West-Vlaanderen;16514;15352;1162;180;2807;2950;1918;1522;1261;1229;1203;1113;715;454;24;311;351;158;99;52;58;60;27;16;6
Prov Oost-Vlaanderen;18935;17469;1466;165;2771;2778;2239;1878;1517;1511;1671;1479;916;544;21;324;352;202;144;106;95;100;64;41;17
Prov Antwerpen;20461;18812;1649;164;2844;3161;2471;2072;1617;1683;1706;1558;978;558;18;315;409;254;162;108;108;107;82;53;33
Prov Limburg;10776;9818;958;101;1679;1803;1178;1036;846;842;936;754;387;256;11;243;278;114;69;61;47;53;34;23;25
Prov Waals Brabant;2647;2390;257;7;206;306;267;287;287;243;253;215;184;135;1;29;51;34;35;26;27;27;12;9;6
Prov Henegouwen;17356;15747;1609;30;1408;2179;2163;2142;1807;1621;1497;1346;918;636;2;185;318;278;244;201;144;114;51;36;36
Prov Luik;13539;12271;1268;22;1146;1805;1869;1692;1356;1254;1187;934;559;447;4;131;263;239;195;127;113;72;50;39;35
Prov Namen;5738;5191;547;18;559;766;701;633;560;529;463;429;319;214;1;73;137;82;75;51;42;32;26;15;13
Prov Luxemburg;2521;2364;157;11;272;331;286;295;244;222;259;210;137;97;0;15;40;32;17;17;12;6;8;6;4
Prov Brussels hoofdstedelijk gewest;7858;6784;1074;11;668;1154;981;856;714;675;618;483;327;297;0;95;204;183;148;127;109;82;68;31;27
